SITE_EXTERNAL_ID,SITE_NEW_FLAG,SITE_NAME,SITE_ADDRESS,SITE_CITY,SITE_ZIP,COUNTY_CODE,COUNTY,STATE_CODE,STATE,SITE_LAT,SITE_LONG,SITE_CONTACT_NAME,SITE_CONTACT_PHONE,STATUS,SITE_TEMP_RETIRE_FLAG,# OF BOAT SLIPS,# OF CAR PARKING SPACES,# OF CB USING SITE,# OF HB USING SITE,# OF RAMPS,# OF TRAILER PARKING SPACES,BOAT MAINTENANCE/REPAIR,BOAT STORAGE,CAN WE INTERVIEW,FISH CLEANING STATIONS,FISHING ACTIVITY AFFECTED BY TIDE,FUEL DOCK,HEADBOAT ONLY,IS FEE CHARGED TO THE PUBLIC FOR USE OF SITE,IS SITE SAFE FOR 2 SAMPLERS AT NIGHT,LIGHTING AT NIGHT,LODGING (ONSITE/IMMEDIATE VICINITY),MAJOR TOURNAMENTS,PRIVATE ACCESS,RESTAURANT (ONSITE/IMMEDIATE VICINITY),RETAIL BAIT,SHORE AREA,SHORE MODE,TACKLE SHOPS
207,,CHESAPEAKE COVE MARINA,170 Greens Cove Rd.,DELTAVILLE,23043,119,MIDDLESEX,51,VA,37.3343,-76.19375,BOB REINER,8047766855,Active,,39,20,0,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NA,N/A,YES
217,,DELTAVILLE MARINA,274 Bucks View Ln,DELTAVILLE,23043,119,MIDDLESEX,51,VA,37.3294,-76.1977,BETTY CARDWELL,8047769633,Active,,80,80,1,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NA,N/A,NO
288,,GREYS POINT CAMP,3601 Greys Point Rd,TOPPING,,119,MIDDLESEX,51,VA,37.36666,-76.26683,,8047582485,Active,,100,20,0,0,1,10,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,INLAND,BOTH,YES
424,,WALDEN BROTHERS MARINA,1224 Timberneck Rd,DELTAVILLE,23043,119,MIDDLESEX,51,VA,37.33635,-76.18976,CHRIS PLAKAS,8047769440,Active,,10,40,2,1,1,20,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
943,,STINGRAY HARBOR,,DELTAVILLE,23403,119,MIDDLESEX,51,VA,37.3365,-76.18451,John Swartwout,8043148309,Retired,,240,200,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NA,N/A,NO
977,,MILL CREEK LANDING (VAGIF RAMP),1299 Carlton Rd,Pinetop,23176,119,MIDDLESEX,51,VA,37.35024,-76.25474,,,Active,,0,10,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
980,,DOZIER/ REGATTA POINT MARINA,137 Neptune Ln,DELTAVILLE,23043,119,MIDDLESEX,51,VA,37.33555,-76.18725,JACK DOZIER,8047768400,Retired,,150,50,0,0,0,12,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
1836,,DELTAVILLE YACHTING CENTER,18355 General Puller Hwy,DELTAVILLE,23403,119,MIDDLESEX,51,VA,37.33347,-76.19112,LEW GRIMM,8047769898,Active,,50,100,0,0,0,15,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,INLAND,N/A,NO
3170,,LOCKLIES MARINA,784 Locklies Creek Rd,TOPPING,23169,119,MIDDLESEX,51,VA,37.3564,-76.26118,,,Active,,20,20,3,0,0,0,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NA,N/A,NO
3383,,BETHPAGE CAMP RESORT (CAMPGROUND),679 Browns Ln,URBANNA,,119,MIDDLESEX,51,VA,37.391,-76.35216,KRISTINA CRALL,8047584349,Active,,240,25,0,0,1,15,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,INLAND,BEACH/BANK,NO
33,,KINGS CREEK MARINA,2 Marina Village Cir.,CAPE CHARLES,23310,131,NORTHAMPTON,51,VA,37.16681,-76.0681,JOE HABEL,7573318640,Active,,125,70,1,0,0,0,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NA,N/A,YES
